Chromosome,Arm,Band,Abnormality,MorphName,Morph,TopoName,Topo,CaseCount,Gene,Type
1,q,10,der,"Acute myeloid leukemia, NOS",1101,,,36,,U
1,q,10,der,Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,8,,U
1,q,10,der,Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,12,,U
1,q,10,der,"Myelodysplastic syndrome, NOS",1501,,,39,,U
1,q,10,der,Refractory anemia,1505,,,89,,U
1,q,10,der,Refractory anemia with excess of blasts (FAB),1509,,,18,,U
1,q,10,der,Multiple myeloma,1702,,,12,,U
1,q,10,der,Multiple myeloma,1702,,,53,,U
1,q,10,der,Adenocarcinoma,3111,Breast,401.0,54,,U
1,q,10,der,Multiple myeloma,1702,,,9,,U
1,q,10,der,Multiple myeloma,1702,,,22,,U
1,q,10,der,Multiple myeloma,1702,,,9,,U
1,q,10,i,"Acute myeloid leukemia, NOS",1101,,,8,,U
1,q,10,i,Acute monoblastic leukemia (FAB type M5),1108,,,8,,U
1,q,10,i,Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,28,,U
1,q,10,i,Multiple myeloma,1702,,,59,,U
1,q,10,i,"Mature B-cell neoplasm, NOS",1801,,,14,,U
1,q,10,i,Follicular lymphoma,1810,,,19,,U
1,q,10,i,Diffuse large B-cell lymphoma,1820,,,34,,U
1,q,10,i,Burkitt lymphoma/leukemia,1822,,,20,,U
1,q,10,i,"Anaplastic large cell lymphoma, systemic type",1922,,,9,,U
1,q,10,i,"Hodgkin disease, lymphocyte predominance",2002,,,11,,U
1,q,10,i,Adenocarcinoma,3111,Lung,107.0,12,,U
1,q,10,i,Adenocarcinoma,3111,Pancreas,218.0,12,,U
1,q,10,i,Adenocarcinoma,3111,Large intestine,227.0,13,,U
1,q,10,i,Adenocarcinoma,3111,Kidney,301.0,25,,U
1,q,10,i,Adenocarcinoma,3111,Breast,401.0,58,,U
1,q,10,i,Adenocarcinoma,3111,Ovary,501.0,14,,U
1,q,10,i,Adenocarcinoma,3111,"Uterus, corpus",505.0,14,,U
1,q,10,i,Wilms tumor,3135,Kidney,301.0,30,,U
1,q,10,i,Malignant melanoma,6011,Skin,1101.0,9,,U
1,q,10,i,Ewing sarcoma,8740,Skeleton,901.0,8,,U
3,q,10,i,Squamous cell carcinoma,3121,Lung,107.0,8,,U
3,q,10,i,Squamous cell carcinoma,3121,Oral cavity,203.0,12,,U
3,q,10,i,Squamous cell carcinoma,3121,Tongue,208.0,10,,U
3,q,10,i,Nonneoplastic hematologic disorder/lesion,9029,,,16,,U
5,p,10,der,"Acute myeloid leukemia, NOS",1101,,,40,,U
5,p,10,der,"Myelodysplastic syndrome, NOS",1501,,,8,,U
5,p,10,der,Refractory cytopenia with multilineage dysplasia,1515,,,12,,U
5,p,10,der,Refractory anemia with excess blasts-1,1519,,,8,,U
5,p,10,der,Refractory anemia with excess blasts-2,1521,,,9,,U
