Chromosome,Arm,Band,Abnormality,MorphName,Morph,TopoName,Topo,CaseCount,Gene,Type
Y,q,10,i,Diffuse large B-cell lymphoma,1820,,,2,,U
1,q,10,der,Multiple myeloma,1702,,,2,,U
1,q,10,der,Meningioma,8804,Brain,801.0,2,,U
1,q,10,der,Multiple myeloma,1702,,,2,,U
1,q,10,der,Adenocarcinoma,3111,Breast,401.0,2,,U
1,q,10,der,Squamous cell carcinoma,3121,Oral cavity,203.0,2,,U
1,q,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der,Multiple myeloma,1702,,,3,,U
1,q,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der,Multiple myeloma,1702,,,3,,U
1,p,10,der,Multiple myeloma,1702,,,3,,U
1,p,10,der,Adenocarcinoma,3111,Breast,401.0,2,,U
1,p,10,der,Adenocarcinoma,3111,Ovary,501.0,2,,U
1,q,10,der,Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,2,,U
1,q,10,der,Multiple myeloma,1702,,,7,,U
1,p,10,der,"Acute myeloid leukemia, NOS",1101,,,3,,U
1,p,10,der,Multiple myeloma,1702,,,2,,U
1,p,10,der,Adenocarcinoma,3111,Lung,107.0,2,,U
1,p,10,der,Squamous cell carcinoma,3121,Lung,107.0,2,,U
1,q,10,der,"Acute myeloid leukemia, NOS",1101,,,36,,U
1,q,10,der,Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,6,,U
1,q,10,der,Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,8,,U
1,q,10,der,Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,12,,U
1,q,10,der,Acute myelomonocytic leukemia (FAB type M4),1107,,,5,,U
1,q,10,der,Acute erythroleukemia (FAB type M6),1112,,,4,,U
1,q,10,der,Acute megakaryoblastic leukemia (FAB type M7),1113,,,6,,U
1,q,10,der,Chronic myelomonocytic leukemia,1302,,,5,,U
1,q,10,der,"Chronic myeloproliferative disorder, NOS",1401,,,3,,U
1,q,10,der,Polycythemia vera,1402,,,3,,U
1,q,10,der,Idiopathic myelofibrosis,1403,,,6,,U
1,q,10,der,Essential thrombocythemia,1404,,,7,,U
1,q,10,der,"Myelodysplastic syndrome, NOS",1501,,,39,,U
1,q,10,der,Refractory anemia,1505,,,89,,U
1,q,10,der,Refractory anemia with excess of blasts (FAB),1509,,,18,,U
1,q,10,der,Refractory cytopenia with multilineage dysplasia,1515,,,3,,U
1,q,10,der,Refractory anemia with excess blasts-1,1519,,,4,,U
1,q,10,der,Refractory anemia with excess blasts-2,1521,,,4,,U
1,q,10,der,Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,2,,U
1,q,10,der,Multiple myeloma,1702,,,7,,U
1,q,10,der,Follicular lymphoma,1810,,,2,,U
1,q,10,der,Burkitt lymphoma/leukemia,1822,,,2,,U
1,q,10,der,Nonneoplastic hematologic disorder/lesion,9029,,,2,,U
1,q,10,der,Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
1,q,10,der,Multiple myeloma,1702,,,2,,U
1,q,10,der,Multiple myeloma,1702,,,6,,U
1,q,10,der,Plasma cell leukemia,1708,,,2,,U
1,q,10,der,Malignant melanoma,6011,Eye,810.0,4,,U
1,q,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der,Acute erythroleukemia (FAB type M6),1112,,,2,,U
1,q,10,der,Polycythemia vera,1402,,,4,,U
1,q,10,der,Idiopathic myelofibrosis,1403,,,2,,U
1,q,10,der,Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,3,,U
1,q,10,der,Multiple myeloma,1702,,,4,,U
1,q,10,der,Multiple myeloma,1702,,,4,,U
1,q,10,der,"Chondrosarcoma, NOS",8622,Skeleton,901.0,2,,U
1,p,10,der,Multiple myeloma,1702,,,2,,U
1,q,10,der,Meningioma,8804,Brain,801.0,2,,U
1,q,10,der,Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,2,,U
1,q,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der,Multiple myeloma,1702,,,5,,U
1,q,10,der,Follicular lymphoma,1810,,,2,,U
1,q,10,der,Diffuse large B-cell lymphoma,1820,,,2,,U
1,q,10,der,Adenocarcinoma,3111,Large intestine,227.0,2,,U
1,q,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der,"Myelodysplastic syndrome, NOS",1501,,,2,,U
1,q,10,der,Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,4,,U
1,q,10,der,Multiple myeloma,1702,,,2,,U
1,p,10,der,Squamous cell carcinoma,3121,Tongue,208.0,2,,U
1,p,10,der,Wilms tumor,3135,Kidney,301.0,3,,U
1,q,10,der,Polycythemia vera,1402,,,2,,U
1,q,10,der,Multiple myeloma,1702,,,2,,U
1,q,10,der,"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der,Polycythemia vera,1402,,,4,,U
1,q,10,der,Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,6,,U
1,q,10,der,Multiple myeloma,1702,,,12,,U
1,q,10,der,"Mature B-cell neoplasm, NOS",1801,,,2,,U
1,q,10,der,Follicular lymphoma,1810,,,2,,U
1,q,10,der,Adenocarcinoma,3111,Breast,401.0,2,,U
1,p,10,der,Multiple myeloma,1702,,,2,,U
