Chromosome,Arm,Band,Abnormality,CaseCount,Type,Morph_code
1,q,10,der,2,unbalanced,1702
1,q,21,der,2,unbalanced,1101
1,q,21,der,2,unbalanced,1602
1,q,21,der,3,unbalanced,1702
1,q,21,der,12,unbalanced,3135
1,q,21,der,2,unbalanced,8322
1,q,21,der,11,unbalanced,8740
1,q,21,der,2,unbalanced,1702
1,q,21,der,2,unbalanced,1820
1,q,21,der,2,unbalanced,3135
1,q,21,der,2,unbalanced,1602
1,q,21,der,2,unbalanced,1810
1,q,21,der,3,unbalanced,1202
1,q,21,der,2,unbalanced,1602
1,q,21,der,2,unbalanced,1101
1,q,21,der,2,unbalanced,1820
1,q,21,der,2,unbalanced,5211
1,q,21,der,4,unbalanced,1810
1,q,21,der,2,unbalanced,1814
1,q,21,der,2,unbalanced,1810
1,q,21,der,2,unbalanced,1810
1,q,21,der,2,unbalanced,1822
1,q,21,der,5,unbalanced,3135
1,q,21,der,2,unbalanced,1101
1,q,21,der,5,unbalanced,1702
1,q,21,der,3,unbalanced,1702
1,q,21,der,2,unbalanced,1107
1,q,21,der,2,unbalanced,1602
1,q,21,der,2,unbalanced,1702
1,q,21,der,3,unbalanced,1810
1,q,21,der,2,unbalanced,1602
1,q,21,der,2,unbalanced,1810
1,q,21,der,2,unbalanced,1810
1,q,21,der,2,unbalanced,1810
1,q,21,der,4,unbalanced,1822
1,q,21,der,2,unbalanced,1602
1,q,21,der,2,unbalanced,1820
1,q,21,der,3,unbalanced,1602
1,q,21,der,6,unbalanced,1702
1,q,21,der,4,unbalanced,1810
1,q,21,der,3,unbalanced,1820
1,q,21,der,2,unbalanced,1822
1,q,21,der,2,unbalanced,1101
1,q,21,der,3,unbalanced,1820
1,q,21,der,2,unbalanced,1702
1,q,21,der,4,unbalanced,1113
1,q,21,der,3,unbalanced,1602
1,q,21,der,4,unbalanced,1702
1,q,21,der,4,unbalanced,1602
1,q,21,der,18,unbalanced,1602
1,q,21,der,2,unbalanced,1101
1,q,21,dup,2,unbalanced,1802
1,q,21,dup,3,unbalanced,1810
1,q,21,dup,3,unbalanced,1820
1,q,21,dup,10,unbalanced,1822
1,q,21,dup,2,unbalanced,1020
1,q,21,dup,3,unbalanced,1101
1,q,21,dup,3,unbalanced,1104
1,q,21,dup,2,unbalanced,1403
1,q,21,dup,2,unbalanced,1404
1,q,21,dup,4,unbalanced,1501
1,q,21,dup,52,unbalanced,1602
1,q,21,dup,7,unbalanced,1702
1,q,21,dup,2,unbalanced,1708
1,q,21,dup,6,unbalanced,1801
1,q,21,dup,9,unbalanced,1810
1,q,21,dup,11,unbalanced,1820
1,q,21,dup,24,unbalanced,1822
1,q,21,dup,2,unbalanced,1926
1,q,21,dup,2,unbalanced,3111
1,q,21,dup,4,unbalanced,1602
1,q,21,dup,2,unbalanced,1822
1,q,21,dup,3,unbalanced,1702
1,q,21,der,2,unbalanced,8622
1,q,21,dup,7,unbalanced,1602
1,q,21,dup,6,unbalanced,1820
1,q,21,der,7,unbalanced,1702
1,q,21,der,4,unbalanced,1702
1,q,21,der,2,unbalanced,1101
1,q,21,der,2,unbalanced,1702
1,q,21,der,2,unbalanced,1822
1,q,21,der,2,unbalanced,1602
1,q,21,der,4,unbalanced,1602
1,q,21,der,2,unbalanced,1820
1,q,21,der,3,unbalanced,1820
1,q,21,der,2,unbalanced,3111
1,q,21,der,2,unbalanced,1104
1,q,21,der,2,unbalanced,1521
1,q,21,dup,4,unbalanced,1202
1,q,21,dup,2,unbalanced,1810
1,q,21,dup,2,unbalanced,1810
1,q,21,dup,2,unbalanced,1602
1,q,21,dup,2,unbalanced,1602
1,q,21,dup,2,unbalanced,1801
1,q,21,dup,2,unbalanced,1810
1,q,21,dup,3,unbalanced,1822
1,q,21,dup,4,unbalanced,1810
1,q,21,dup,8,unbalanced,1822
1,q,21,der,2,unbalanced,1501
1,q,21,der,2,unbalanced,1101
1,q,21,der,2,unbalanced,1020
1,q,21,del,3,unbalanced,1112
1,q,21,del,4,unbalanced,1202
1,q,21,del,4,unbalanced,1203
1,q,21,del,2,unbalanced,1403
1,q,21,del,4,unbalanced,1501
1,q,21,del,8,unbalanced,1602
1,q,21,del,13,unbalanced,1702
1,q,21,del,3,unbalanced,1708
1,q,21,del,5,unbalanced,1801
1,q,21,del,5,unbalanced,1802
1,q,21,del,2,unbalanced,1808
1,q,21,del,3,unbalanced,1810
1,q,21,del,7,unbalanced,1820
1,q,21,del,3,unbalanced,1822
1,q,21,del,2,unbalanced,3102
1,q,21,del,2,unbalanced,3105
1,q,21,del,3,unbalanced,3111
1,q,21,del,3,unbalanced,3111
1,q,21,del,2,unbalanced,3111
1,q,21,del,4,unbalanced,3111
1,q,21,del,8,unbalanced,3111
1,q,21,del,2,unbalanced,1110
1,q,21,del,16,unbalanced,3111
1,q,21,del,2,unbalanced,1107
1,q,21,del,5,unbalanced,1104
1,p,21,del,9,unbalanced,3111
1,p,21,del,3,unbalanced,3111
1,p,21,del,3,unbalanced,3111
1,p,21,del,3,unbalanced,3903
1,p,21,del,2,unbalanced,3905
1,p,21,del,2,unbalanced,6011
1,p,21,del,3,unbalanced,8516
1,p,21,del,2,unbalanced,8740
1,p,21,del,2,unbalanced,8804
1,p,21,del,4,unbalanced,8810
1,p,21,del,3,unbalanced,1702
1,p,21,del,5,unbalanced,1702
1,p,21,del,6,unbalanced,1702
1,p,21,del,3,unbalanced,1602
1,p,21,del,17,unbalanced,1702
1,p,21,del,3,unbalanced,1808
1,p,21,del,2,unbalanced,1702
1,p,21,del,2,unbalanced,3111
1,p,21,del,4,unbalanced,1702
1,q,21,del,10,unbalanced,1101
1,q,21,del,2,unbalanced,1102
1,q,21,del,2,unbalanced,1106
1,q,21,del,3,unbalanced,3131
1,q,21,del,2,unbalanced,5104
1,q,21,del,2,unbalanced,5213
1,q,21,der,5,unbalanced,1810
1,q,21,der,2,unbalanced,1602
1,q,21,der,3,unbalanced,1702
1,q,21,der,2,unbalanced,1820
1,q,21,der,2,unbalanced,1602
1,q,21,der,4,unbalanced,1702
1,q,21,der,2,unbalanced,1822
1,q,21,der,5,unbalanced,1702
1,q,21,der,2,unbalanced,1820
1,q,21,der,2,unbalanced,1810
1,q,21,der,3,unbalanced,1602
1,q,21,der,4,unbalanced,1101
1,q,21,der,2,unbalanced,1602
1,q,21,der,2,unbalanced,1702
1,q,21,der,2,unbalanced,1822
1,q,21,der,2,unbalanced,1108
1,q,21,der,2,unbalanced,1113
1,q,21,der,2,unbalanced,1108
1,q,21,der,2,unbalanced,1101
1,q,21,der,2,unbalanced,1101
1,q,21,der,2,unbalanced,1602
1,q,21,der,2,unbalanced,1101
1,q,21,der,4,unbalanced,1820
1,q,21,der,2,unbalanced,1702
1,q,21,der,3,unbalanced,3111
1,q,21,del,3,unbalanced,8037
1,q,21,del,4,unbalanced,8137
1,q,21,del,4,unbalanced,8516
1,q,21,del,4,unbalanced,8541
1,q,21,del,3,unbalanced,8710
1,q,21,del,3,unbalanced,8740
1,q,21,del,2,unbalanced,8810
