Chromosome,Arm,Band,Abnormality,MorphName,Morph,TopoName,Topo,CaseCount,Gene,Type
Y,q,10,i(Y)(q10),Diffuse large B-cell lymphoma,1820,,,2,,U
1,q,10,der(1;2)(q10;p10),Multiple myeloma,1702,,,2,,U
1,q,10,der(1;2)(q10;q10),Meningioma,8804,Brain,0801,2,,U
1,q,10,der(1;3)(q10;q10),Multiple myeloma,1702,,,2,,U
1,q,10,der(1;3)(q10;q10),Adenocarcinoma,3111,Breast,0401,2,,U
1,q,10,der(1;3)(q10;q10),Squamous cell carcinoma,3121,Oral cavity,0203,2,,U
1,q,10,der(1;5)(q10;p10),"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der(1;5)(q10;p10),Multiple myeloma,1702,,,3,,U
1,q,10,der(1;5)(q10;q10),"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der(1;5)(q10;q10),Multiple myeloma,1702,,,3,,U
1,p,10,der(1;6)(p10;p10),Multiple myeloma,1702,,,3,,U
1,p,10,der(1;6)(p10;p10),Adenocarcinoma,3111,Breast,0401,2,,U
1,p,10,der(1;6)(p10;p10),Adenocarcinoma,3111,Ovary,0501,2,,U
1,q,10,der(1;6)(q10;p10),Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,2,,U
1,q,10,der(1;6)(q10;p10),Multiple myeloma,1702,,,7,,U
1,p,10,der(1;7)(p10;q10),"Acute myeloid leukemia, NOS",1101,,,3,,U
1,p,10,der(1;7)(p10;q10),Multiple myeloma,1702,,,2,,U
1,p,10,der(1;7)(p10;q10),Adenocarcinoma,3111,Lung,0107,2,,U
1,p,10,der(1;7)(p10;q10),Squamous cell carcinoma,3121,Lung,0107,2,,U
1,q,10,der(1;7)(q10;p10),"Acute myeloid leukemia, NOS",1101,,,36,,U
1,q,10,der(1;7)(q10;p10),Acute myeloblastic leukemia with minimal differentiation (FAB type M0),1102,,,6,,U
1,q,10,der(1;7)(q10;p10),Acute myeloblastic leukemia without maturation (FAB type M1),1103,,,8,,U
1,q,10,der(1;7)(q10;p10),Acute myeloblastic leukemia with maturation (FAB type M2),1104,,,12,,U
1,q,10,der(1;7)(q10;p10),Acute myelomonocytic leukemia (FAB type M4),1107,,,5,,U
1,q,10,der(1;7)(q10;p10),Acute erythroleukemia (FAB type M6),1112,,,4,,U
1,q,10,der(1;7)(q10;p10),Acute megakaryoblastic leukemia (FAB type M7),1113,,,6,,U
1,q,10,der(1;7)(q10;p10),Chronic myelomonocytic leukemia,1302,,,5,,U
1,q,10,der(1;7)(q10;p10),"Chronic myeloproliferative disorder, NOS",1401,,,3,,U
1,q,10,der(1;7)(q10;p10),Polycythemia vera,1402,,,3,,U
1,q,10,der(1;7)(q10;p10),Idiopathic myelofibrosis,1403,,,6,,U
1,q,10,der(1;7)(q10;p10),Essential thrombocythemia,1404,,,7,,U
1,q,10,der(1;7)(q10;p10),"Myelodysplastic syndrome, NOS",1501,,,39,,U
1,q,10,der(1;7)(q10;p10),Refractory anemia,1505,,,89,,U
1,q,10,der(1;7)(q10;p10),Refractory anemia with excess of blasts (FAB),1509,,,18,,U
1,q,10,der(1;7)(q10;p10),Refractory cytopenia with multilineage dysplasia,1515,,,3,,U
1,q,10,der(1;7)(q10;p10),Refractory anemia with excess blasts-1,1519,,,4,,U
1,q,10,der(1;7)(q10;p10),Refractory anemia with excess blasts-2,1521,,,4,,U
1,q,10,der(1;7)(q10;p10),Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,2,,U
1,q,10,der(1;7)(q10;p10),Multiple myeloma,1702,,,7,,U
1,q,10,der(1;7)(q10;p10),Follicular lymphoma,1810,,,2,,U
1,q,10,der(1;7)(q10;p10),Burkitt lymphoma/leukemia,1822,,,2,,U
1,q,10,der(1;7)(q10;p10),Nonneoplastic hematologic disorder/lesion,9029,,,2,,U
1,q,10,der(1;7)(q10;q10),Acute megakaryoblastic leukemia (FAB type M7),1113,,,2,,U
1,q,10,der(1;7)(q10;q10),Multiple myeloma,1702,,,2,,U
1,q,10,der(1;8)(q10;q10),Multiple myeloma,1702,,,6,,U
1,q,10,der(1;8)(q10;q10),Plasma cell leukemia,1708,,,2,,U
1,q,10,der(1;8)(q10;q10),Malignant melanoma,6011,Eye,0810,4,,U
1,q,10,der(1;9)(q10;p10),"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der(1;9)(q10;p10),Acute erythroleukemia (FAB type M6),1112,,,2,,U
1,q,10,der(1;9)(q10;p10),Polycythemia vera,1402,,,4,,U
1,q,10,der(1;9)(q10;p10),Idiopathic myelofibrosis,1403,,,2,,U
1,q,10,der(1;9)(q10;p10),Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,3,,U
1,q,10,der(1;9)(q10;p10),Multiple myeloma,1702,,,4,,U
1,q,10,der(1;9)(q10;q10),Multiple myeloma,1702,,,4,,U
1,q,10,der(1;9)(q10;q10),"Chondrosarcoma, NOS",8622,Skeleton,0901,2,,U
1,p,10,der(1;11)(p10;q10),Multiple myeloma,1702,,,2,,U
1,q,10,der(1;11)(q10;q10),Meningioma,8804,Brain,0801,2,,U
1,q,10,der(1;12)(q10;q10),Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,2,,U
1,q,10,der(1;13)(q10;q10),"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der(1;13)(q10;q10),Multiple myeloma,1702,,,5,,U
1,q,10,der(1;13)(q10;q10),Follicular lymphoma,1810,,,2,,U
1,q,10,der(1;13)(q10;q10),Diffuse large B-cell lymphoma,1820,,,2,,U
1,q,10,der(1;13)(q10;q10),Adenocarcinoma,3111,Large intestine,0227,2,,U
1,q,10,der(1;14)(q10;q10),"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der(1;14)(q10;q10),"Myelodysplastic syndrome, NOS",1501,,,2,,U
1,q,10,der(1;14)(q10;q10),Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,4,,U
1,q,10,der(1;14)(q10;q10),Multiple myeloma,1702,,,2,,U
1,p,10,der(1;15)(p10;q10),Squamous cell carcinoma,3121,Tongue,0208,2,,U
1,p,10,der(1;15)(p10;q10),Wilms tumor,3135,Kidney,0301,3,,U
1,q,10,der(1;15)(q10;p10),Polycythemia vera,1402,,,2,,U
1,q,10,der(1;15)(q10;p10),Multiple myeloma,1702,,,2,,U
1,q,10,der(1;15)(q10;q10),"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der(1;15)(q10;q10),Polycythemia vera,1402,,,4,,U
1,q,10,der(1;15)(q10;q10),Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,6,,U
1,q,10,der(1;15)(q10;q10),Multiple myeloma,1702,,,12,,U
1,q,10,der(1;15)(q10;q10),"Mature B-cell neoplasm, NOS",1801,,,2,,U
1,q,10,der(1;15)(q10;q10),Follicular lymphoma,1810,,,2,,U
1,q,10,der(1;15)(q10;q10),Adenocarcinoma,3111,Breast,0401,2,,U
1,p,10,der(1;16)(p10;p10),Multiple myeloma,1702,,,2,,U
1,p,10,der(1;16)(p10;q10),Multiple myeloma,1702,,,3,,U
1,q,10,der(1;16)(q10;p10),"Acute myeloid leukemia, NOS",1101,,,7,,U
1,q,10,der(1;16)(q10;p10),Acute lymphoblastic leukemia/lymphoblastic lymphoma,1602,,,2,,U
1,q,10,der(1;16)(q10;p10),Multiple myeloma,1702,,,53,,U
1,q,10,der(1;16)(q10;p10),Plasma cell leukemia,1708,,,4,,U
1,q,10,der(1;16)(q10;p10),"Carcinoma, NOS",3102,Breast,0401,4,,U
1,q,10,der(1;16)(q10;p10),Adenocarcinoma,3111,Breast,0401,54,,U
1,q,10,der(1;16)(q10;p10),Adenocarcinoma,3111,"Uterus, corpus",0505,3,,U
1,q,10,der(1;16)(q10;p10),"Liposarcoma, myxoid/round cell",8034,Soft tissue,0902,2,,U
1,q,10,der(1;16)(q10;p10),"Liposarcoma, NOS",8040,Soft tissue,0902,2,,U
1,q,10,der(1;16)(q10;q10),Multiple myeloma,1702,,,9,,U
1,q,10,der(1;16)(q10;q10),Adenocarcinoma,3111,Breast,0401,3,,U
1,q,10,der(1;17)(q10;q10),Multiple myeloma,1702,,,5,,U
1,q,10,der(1;17)(q10;q10),Plasma cell leukemia,1708,,,2,,U
1,q,10,der(1;17)(q10;q10),"Mature B-cell neoplasm, NOS",1801,,,2,,U
1,q,10,der(1;18)(q10;q10),Multiple myeloma,1702,,,2,,U
1,p,10,der(1;19)(p10;p10),"Acute myeloid leukemia, NOS",1101,,,2,,U
1,q,10,der(1;19)(q10;p10),"Acute myeloid leukemia, NOS",1101,,,3,,U
1,q,10,der(1;19)(q10;p10),Multiple myeloma,1702,,,22,,U
1,q,10,der(1;19)(q10;p10),Mastocytosis,2430,,,2,,U
